sep=,
"Cliente","Vd","Nome","Ano","TOTAL","Janeiro","Fevereiro","Março","Abril","Maio","Junho","Julho","Agosto","Setembro","Outubro","Novembro","Dezembro"
="0276",="06","Artame Indústria Metalúrgica, SA.","2023","2998,71","0","347,1","0","347,1","0","1209,74","422,63","0","162,38","349,86","159,9","0"
="0313",="05","Ormia Construções Mecânicas,Lda.","2023","2695,71","0","12","0","2143,4","0","0","61,4","122,1","143,01","154,9","0","58,9"
="0348",="06","Ferreira, Barros & Filhos, Lda.","2023","995,73","0","0","0","0","175","0","198,44","0","0","0","454,59","167,7"
="0387",="06","Abel Nogueira, Lda.","2023","1088,18","166,9","0","220,4","70,4","76,7","0","36,2","0","224,7","38,65","254,23","0"
="0415",="08","ICEL Indústria Cutelarias Estremadura, SA.","2023","456,1","0","0","215,2","0","240,9","0","0","0","0","0","0","0"
="0441",="06","Facort Fábrica Cortantes Moldes, Lda.","2023","2958,31","0","269","51,5","351,4","467,88","63,05","1001,85","336,3","54,53","0","362,8","0"
="0451",="08","PCFM Projecto, Comércio Fabrico Moldes,Lda.","2023","27","0","0","0","0","27","0","0","0","0","0","0","0"
="0508",="12","Covilãn Laneira da Covilhã, SA.","2023","309,61","0","0","309,61","0","0","0","0","0","0","0","0","0"
="0519",="05","Lingote Alumínios, SA","2023","8565,93","0","0","6044,03","119,75","0","0","0","0","2402,15","0","0","0"
="0607",="05","Metalúrgica Tâmega Teixeira & Torres, SA.","2023","2414,67","0","703,93","323,3","0","107,4","212,84","0","0","84,9","921,2","61,1","0"
="0073",="06","António Almeida Bernardes & Filhos, Lda.","2023","236,4","0","0","236,4","0","0","0","0","0","0","0","0","0"
="0078",="08","Maquinaço Serralharia Mecânica, Lda.","2023","189","0","46,5","0","0","0","142,5","0","0","0","0","0","0"
="0088",="06","A Reis & Filho, Lda","2023","3127,7","0","0","0","0","0","2765,7","0","0","362","0","0","0"
="0292",="13","António Ricardo Pires da Silva","2023","1391,18","96,4","0","0","0","0","540,5","540,5","89,46","0","0","124,32","0"
="0492",="06","Tornearia JM Moura, Unip., Lda.","2023","534,17","0","0","17,3","0","0","0","0","0","0","58,47","0","458,4"
="0522",="11","Lusavouga Máquinas Acessórios Industriais, SA.","2023","54,42","0","0","0","54,42","0","0","0","0","0","0","0","0"
="0578",="30","Mecanarte Metalúrgica Lagôa, Lda.","2023","2407,65","93,1","285,9","443,9","0","619,7","325","14","0","168,8","183,6","273,65","0"
="0596",="06","Metalúrgica Eduardo Silva Araújo, Lda.","2023","834,2","0","0","0","0","0","0","0","0","0","0","52,5","781,7"
="0616",="06","Milon Indústria Metalomecânica Moldes, Lda.","2023","1649,21","0","657,84","354,7","0","130,31","0","104,4","0","379,76","22,2","0","0"
="0661",="06","A Metalúrgica Bakeware Production, S.A.","2023","791,12","57,7","81,6","0","94,5","0","104,2","373,92","0","0","0","79,2","0"
="0742",="08","Simatri Sistemas Maquinação Tridimensional, Lda.","2023","256,75","0","0","0","256,75","0","0","0","0","0","0","0","0"
="0743",="08","Rui Manuel Conceição. Lda.","2023","6795,26","0","77,3","0","0","0","1696,1","45,4","364,83","507,48","1126,15","0","2978"
="0818",="06","Hidrauserv Serviço Manutenção Hidráulica, Lda.","2023","99,75","0","0","0","0","0","0","0","0","99,75","0","0","0"
="0026",="30","Massil Metalúrgica M L Silva Fáb. Máq. Agric.,Lda.","2023","120,5","0","0","0","0","120,5","0","0","0","0","0","0","0"
="0081",="05","António Cunha Leite, Lda.","2023","8225,23","461","370","515,1","684,6","458,7","483","552,7","246,6","785,6","1373,33","1507,4","787,2"
="0082",="12","Safa Construções Electromecânicas, Lda.","2023","611,24","331,63","0","0","0","0","0","0","0","0","279,61","0","0"
="0269",="08","Norelis Nova Rectificação Motores Liz, Lda.","2023","3298,88","0","372,93","179,88","404","160,56","241","0","321,06","214,9","0","990","414,55"
="0277",="05","JS Freitas & Marques, Lda.","2023","1890,21","0","0","273,3","290,72","64,22","414","337,97","0","0","0","510","0"
="0284",="06","Ernesto São Simão, Lda.","2023","1486,9","496,64","73,4","0","134,1","0","123,4","0","100","0","191,53","367,83","0"
="0309",="30","Ramada Aços, SA.","2023","168,14","42,9","75,54","0","0","0","0","0","0","0","49,7","0","0"
="0314",="30","Herculano Alfaias Agricolas, SA.","2023","911","303","96","0","0","0","176,5","96","24","0","0","159","56,5"
="0328",="08","Famolde Fabricação Comércio Moldes, SA.","2023","1276","0","0","1276","0","0","0","0","0","0","0","0","0"
="0390",="06","Manuel António Silva & Filhos, Lda.","2023","761,36","0","713,36","48","0","0","0","0","0","0","0","0","0"
="0463",="30","Famo Indústria Mobiliário Escritório, Lda.","2023","1860,71","182,91","484,4","231,68","57,6","79,6","89,7","165","0","190,32","0","133,22","246,28"
="0464",="30","Benjamim Martins Silva, Unip., Lda.","2023","224,07","0","0","0","0","0","0","0","0","0","0","0","224,07"
="0592",="30","Metalúrgica Precisão Aveirense, Lda.","2023","102,2","0","0","0","0","0","0","45","15,8","0","41,4","0","0"
="1976",="11","Oxiguima Comércio, Gás Máquinas, Lda.","2023","50,67","0","0","0","0","0","0","50,67","0","0","0","0","0"
="2024",="05","Felgrava Moldes, Lda.","2023","3564,72","155,2","1152,45","136,61","268","59,9","0","426,8","46,4","0","57,1","1149,49","112,77"
="2093",="08","Masimac, Unipessoal, Lda.","2023","1537,38","300,24","113,91","0","0","603,33","58,5","186,3","94,5","120,4","60,2","0","0"
="2118",="06","Sociedade Metal. Manuel Joaquim & Soares,Lda.","2023","3759,19","205","0","263","134,71","399,17","0","120","0","0","2049,31","0","588"
="2258",="30","Fernando Pinto Seixal","2023","116,5","0","0","0","0","0","0","0","0","0","0","0","116,5"
="2425",="30","Antímo & Barros, Lda.","2023","597,6","0","0","151,1","45","39,5","21,6","40,6","0","255,2","0","44,6","0"
="2429",="06","J Neves & Filhos Comércio Ind. Ferragens, SA","2023","470,28","161,85","0","0","0","140,08","0","168,35","0","0","0","0","0"
="2490",="06","Pinto Brasil Fábrica Máquinas Industriais, SA.","2023","376,25","0","0","0","376,25","0","0","0","0","0","0","0","0"
="2719",="30","Repaveiro , Lda.","2023","223,25","0","0","0","0","0","223,25","0","0","0","0","0","0"
="2726",="08","Geocam Maquinação Moldes, Lda","2023","345,8","0","345,8","0","0","0","0","0","0","0","0","0","0"
="2793",="06","Tecnodiâmetro Soc.Const. Cilindros P/Gravuras, Lda.","2023","135,2","0","0","0","0","0","0","0","0","0","0","0","135,2"
="2801",="06","Armando Sousa Teixeira","2023","935,06","90","161,17","130","0","0","195,66","0","0","0","217,63","0","140,6"
="2890",="08","Metalomecânica Curados, Lda.","2023","300,3","0","0","0","0","0","0","0","0","0","0","300,3","0"
="0612",="30","Metelcosta Metalúrgica, Lda.","2023","852,05","0","235,8","309,15","0","0","0","0","0","152,2","0","0","154,9"
="0622",="12","Moldicorte Fábrica Moldes Cortantes, Lda.","2023","827,03","0","172,2","0","0","0","515,33","0","0","0","0","139,5","0"
="0684",="05","Grupo Antólin Lusitânia Componentes Automóvel, SA.","2023","520,8","0","0","0","0","0","520,8","0","0","0","0","0","0"
="0728",="30","Ribeiro & Rocha, Lda.","2023","527,8","113,8","80","0","5,2","144,5","0","0","0","0","0","0","184,3"
="0730",="06","Ricardo & Barbosa, Lda.","2023","2335,51","45,6","2244,31","0","0","0","0","0","0","0","0","45,6","0"
="0978",="11","Diapor Diamantes de Portugal, SA.","2023","116,1","0","0","0","116,1","0","0","0","0","0","0","0","0"
="1077",="08","Usimeca Metalomecânica, Lda.","2023","74,1","0","0","74,1","0","0","0","0","0","0","0","0","0"
="1078",="06","INEGI-INST. DE CIÊNCIA E INOVAÇÃO EM ENG. MEC. E ENG. INDUST.","2023","882,9","0","83,1","0","189","129,5","280","109,8","0","0","0","0","91,5"
="1157",="12","RODI INDUSTRIES, S.A.","2023","0","0","0","0","0","0","0","0","0","0","0","0","0"
="1236",="06","VOX Organização Industrial Gráfica, SA.","2023","221,4","221,4","0","0","0","0","0","0","0","0","0","0","0"
="1272",="12","Tornemor Tornearia Mecânica, Lda.","2023","62,6","0","45","0","0","0","0","0","17,6","0","0","0","0"
="1298",="30","VMSS Torneiro Mecânico, Lda.","2023","1995,2","111,84","0","0","213,9","295,7","0","0","0","317,7","168,3","162,76","725"
="1322",="06","Centro Formação Profissional Ind. Metalomecânica","2023","19303,46","0","255,3","2105,76","1306,19","235,33","202","0","175","691,1","0","0","14332,78"
="3255",="12","Nexxpro Fábrica Capacetes, S.A.","2023","1285","63","310","63","0","0","465","0","0","126","0","82,4","175,6"
="3256",="11","Afonso Rodrigues, Unip., Lda","2023","470,9","0","0","0","0","0","0","0","0","0","0","0","470,9"
="3279",="30","Manuel Bastos Silva","2023","163,25","0","163,25","0","0","0","0","0","0","0","0","0","0"
="3309",="12","Habidecor Indústria Textil Habitação, SA","2023","48,58","0","0","0","0","48,58","0","0","0","0","0","0","0"
="3362",="30","Tavares & Tavares Ind. Metalomecânica SA.","2023","1349,26","0","0","0","0","0","0","0","0","1349,26","0","0","0"
="3543",="05","Serafim Fertuzinhos, SA","2023","6477,22","1095,84","867,6","0","772,1","0","761,2","0","456,86","723,6","892,98","572,1","334,94"
="3555",="06","Sermec II Ind., Comércio Serviços, SA","2023","9520,98","641,22","70,2","82,59","286,03","959,43","111,96","3572,92","0","54,04","154,28","3246,62","341,69"
="3687",="05","Martins Cruz & Cruz, SA.","2023","2561,58","0","0","0","0","0","185,49","727,54","232,31","0","0","43,44","1372,8"
="3905",="06","Maviquim - Serralharia Mecânica, Lda","2023","1368,48","148","0","0","0","726,68","0","0","0","365","22,1","106,7","0"
="3929",="30","Beirindústria - Beirin Lda","2023","739,88","0","0","0","0","149,77","0","0","0","466,91","0","123,2","0"
="3937",="06","Engenharia de Prototipagem Alves & Alves S.A.","2023","1267,77","0","0","307,42","0","0","0","0","406,8","57,9","10,25","485,4","0"
="3947",="11","Mafermaq - Máquinas Ferramentas Unip., Lda","2023","1074,4","106,58","86,64","177,62","0","0","253,76","16,08","0","172,92","0","42,74","218,06"
="3998",="08","Tonera - Metalomecânica, Lda","2023","178,26","0","0","0","0","0","78,38","0","99,88","0","0","0","0"
="0628",="30","Moldoplástico, SA","2023","4709,92","301,34","406,6","172,9","599,03","158,3","597,8","256,3","434,19","217,52","653,8","663,29","248,85"
="0644",="12","Motofil Robotics, SA","2023","561,42","561,42","0","0","0","0","0","0","0","0","0","0","0"
="0750",="30","Sá & Jacinto, Lda.","2023","4244,33","0","0","0","0","0","0","3972,33","0","0","0","0","272"
="0753",="06","Toyota Caetano Portugal, SA.","2023","10966,2","0","0","7041","145,9","0","145,9","0","0","0","0","0","3633,4"
="0762",="15","José António T Moutinho, Lda.","2023","7,36","0","0","0","0","7,36","0","0","0","0","0","0","0"
="0817",="06","Leite Mendes, Lda","2023","1049,1","0","0","0","100","0","341,4","456","0","0","90,5","61,2","0"
="0842",="06","Moldra Indústria Comércio Plásticos, Lda.","2023","1419,48","401,7","0","0","0","0","35,2","0","0","0","0","0","982,58"
="0890",="08","Acogi Acessórios Componentes P/Indústria, Lda.","2023","4132,09","0","0","246,4","0","3613,4","0","0","0","272,29","0","0","0"
="0994",="30","Sucorema Subcontrato, Fab. Rep. Máquinas.,Lda.","2023","848,42","0","133,35","0","37,8","0","161,7","163,5","0","125,7","106,13","120,24","0"
="1110",="30","Mecicrol Fab. Máq. Transf. Mármores Granitos, Lda.","2023","2030,28","56,6","0","176,46","0","154","239","272,98","94,64","763,67","254,53","18,4","0"
="1145",="06","Farcaneli Componentes P/Texteis Calçado, Lda.","2023","167","0","0","0","0","0","0","0","0","0","0","167","0"
="1203",="05","AL-Manutenção Industrial, Lda.","2023","6473,19","2211,5","157,85","355,2","176,1","306,5","1300,74","525,99","613,8","191,76","407,11","226,64","0"
="1213",="11","Asseada Máquinas Comércio Máq. Ferramenta, Lda.","2023","283,73","0","0","0","0","0","0","0","283,73","0","0","0","0"
="4129",="08","CR MOLDES, LDA.","2023","75,1","0","0","0","0","0","0","0","75,1","0","0","0","0"
="4203",="12","Tornifer - Tornearia de Precisão de Peças em Série, Unipessoal, Lda","2023","905,39","0","0","0","0","0","0","0","0","0","0","0","905,39"
="4244",="11","Tuttiporcel Unipessoal, Lda","2023","171,19","0","0","0","171,19","0","0","0","0","0","0","0","0"
="4288",="05","Tiegelberica - Equipamentos Industriais, Lda","2023","373,5","0","0","0","0","0","0","0","0","124,5","0","0","249"
="4328",="06","Fernando Pinto Catão & Irmão, Lda","2023","563,43","0","290,68","0","0","0","0","0","0","0","0","63,25","209,5"
="4330",="08","HU Moldes para Vidro, Lda","2023","410,49","0","0","0","160,55","0","0","93,28","0","0","80,56","0","76,1"
="4338",="08","LEINADI - Torneamentos, Rectificações e Moldes","2023","910,79","0","146","53,78","204,06","117","0","0","0","0","0","389,95","0"
="4367",="05","Tetrawax - Indústria de Moldes, Unipessoal, Lda","2023","2788,36","432","705,62","0","0","1512,02","138,72","0","0","0","0","0","0"
="4411",="30","JOAQUIM LEAL ARAUJO FILHOS LDA","2023","261,6","0","0","261,6","0","0","0","0","0","0","0","0","0"
="4433",="08","LEIRICHAPA COMERCIO DE CHAPAS E PERFIS LDA","2023","790","0","0","0","395","0","0","0","0","0","0","395","0"
="4454",="16","IDMEC INSTITUTO DE ENGENHARIA MECANICA","2023","108,7","0","88","20,7","0","0","0","0","0","0","0","0","0"
="4478",="30","All Steels, Lda","2023","297","0","45","0","0","162","0","0","0","90","0","0","0"
="4497",="30","JETMOL - INDÚSTRIA DE MOLDES E INJECÇÃO LDA","2023","980,47","980,47","0","0","0","0","0","0","0","0","0","0","0"
="1253",="06","A António S Coelho, Lda.","2023","535,25","0","0","369,45","0","0","0","0","0","165,8","0","0","0"
="1365",="06","Moldecar Indústria de Moldes, Lda.","2023","3238,41","477,9","290,4","163,5","204,4","610,35","113,1","276,66","132,8","779","0","0","190,3"
="1473",="08","Dinefer Com. Indústria Ferramentas, SA.","2023","1031,85","91,7","91,7","91,7","0","126,9","0","0","199,62","430,23","0","0","0"
="1497",="06","MBR Moldes Batista & Rocha, Lda.","2023","868,4","0","296","0","0","0","0","0","0","0","0","572,4","0"
="1562",="30","Xavitec Mecânica Geral Precisão, Lda.","2023","172,5","0","0","0","0","0","0","0","0","0","0","0","172,5"
="1630",="30","Maquiave Peças Acessórios Máq. Costura Ind., Lda.","2023","475,5","161,8","0","0","0","232,1","81,6","0","0","0","0","0","0"
="1717",="06","Frezimaia Metaloprecisão, Lda.","2023","3613,39","164,9","17","486,3","138,7","461,41","193,68","507,8","0","162","234,25","1247,35","0"
="1743",="06","Jorge Silva Ribeiro, Lda","2023","5596,83","389,4","1156,11","498,8","605,12","421,98","91,33","160","0","177,7","724,3","0","1372,09"
="1762",="30","Metalotrofa Serralharia Mecânica Trofa,Lda.","2023","166,08","0","0","0","166,08","0","0","0","0","0","0","0","0"
="1801",="12","Paulo Ferreira & Henriques, Lda.","2023","1004,47","0","238,8","21,4","64,2","85,4","0","68,7","0","0","0","0","525,97"
="1855",="30","Jalm Manutenção Industrial, Lda.","2023","6470,83","324,78","499,37","277,22","711,8","655,78","589,4","647,9","390,12","71,6","518,02","1027,66","757,18"
="1947",="11","Compasso Máquinas Ferramentas, Lda.","2023","1441,38","558,64","0","436","41,12","0","0","53,28","126,48","12,96","170,74","0","42,16"
="2032",="13","Duarte Maximino Alves","2023","87,35","0","0","0","0","0","0","0","0","0","0","0","87,35"
="4510",="30","ANADIROBTIC-ROBOTICA AUTOM PROJ E INST LDA","2023","4022,15","464,16","879,66","376,38","662,08","494,8","813,39","176","85,28","0","35,2","35,2","0"
="4632",="30","BRAINSTEEL UNIPESSOAL LDA","2023","1110,24","0","0","0","0","1110,24","0","0","0","0","0","0","0"
="4638",="05","COQUIMOLD M J UNIPESSOAL LDA","2023","1157,53","269,35","153,4","87,38","45,98","59,56","44,9","93","178,1","0","154,36","0","71,5"
="4641",="05","METALCRUSH LDA","2023","835,1","32,7","66,3","0","0","214","0","75","43","291,2","112,9","0","0"
="4675",="06","ARGUMENTÁLIA, LDA.","2023","2036,26","352,9","171","156,1","133,9","43,8","177,4","372,1","323,01","0","65,9","240,15","0"
="4677",="08","SOCIMATEC - SOCIEDADE DE MAQUINAÇÃO DE PEÇAS TECNICAS LDA","2023","395","175","0","0","220","0","0","0","0","0","0","0","0"
="4686",="11","JSJ TOOLS UNIPESSOAL LDA","2023","1187,71","0","0","0","205,6","208,24","356,02","0","0","0","417,85","0","0"
="4691",="30","BI-SILQUE, PRODUTOS DE COMUNICAÇÃO VISUAL, S.A.","2023","880,47","145","0","293","72,39","0","0","0","0","0","178","0","192,08"
="4695",="06","CRUZ & LIMA FABRICAÇÃO CUNHOS E CORTANTES LDA","2023","3414,55","771,24","49,95","0","477,92","325,31","970,8","234,25","126,2","104,18","254,7","100","0"
="4717",="12","CLEVERMAN LDA","2023","469,7","0","0","360,63","109,07","0","0","0","0","0","0","0","0"
="4721",="06","EQUINOTEC - SOLUÇÕES DE ENGENHARIA, LDA","2023","47,8","0","16,8","15,5","0","0","0","0","0","0","15,5","0","0"
="4731",="30","SVN - Tornearia, Serralharia e Soldaduras Técnicas","2023","7735,67","175,8","0","702,36","155,08","0","610,33","422,1","0","785,63","148,26","604,45","4131,66"
="4753",="08","SILVAS SA","2023","2307,96","0","0","122,18","57,78","0","0","0","0","0","0","0","2128"
="0881",="14","Alípio Silva Gomes & Filhos, Lda.","2023","43,38","0","0","21,69","0","0","21,69","0","0","0","0","0","0"
="0892",="11","Rolmaquinas Rolamentos Máquinas, Lda.","2023","2706,12","1427,22","104,6","89,52","207,2","0","44,9","0","0","59,7","552,16","109,84","110,98"
="0944",="08","Virmolde Indústria Técnica de Moldes, Lda.","2023","370","0","222","0","0","0","0","0","0","148","0","0","0"
="1099",="06","PPRR - Metal, Lda.","2023","1752,7","0","527,9","0","729,9","0","51,4","74","0","309,4","60,1","0","0"
="1107",="06","Sersan Serralharia Santos, Lda.","2023","3457,34","427,7","451,7","153,35","236,54","987,42","207,5","93,7","27,1","265,05","443,18","40,1","124"
="1164",="05","Nevacril - Display Development, Lda.","2023","563,22","303,1","0","0","16,5","0","122,1","121,52","0","0","0","0","0"
="1209",="11","Coferac Com. Ferramenta Acess. P/Indústria, Lda.","2023","324,58","150,42","0","0","0","0","0","174,16","0","0","0","0","0"
="1279",="30","Neves & Neves Metalomecânica, Lda.","2023","1060,8","70","313,9","0","283,5","0","0","321,3","0","0","72,1","0","0"
="1305",="05","António Antunes & Filhos, Lda.","2023","8,5","8,5","0","0","0","0","0","0","0","0","0","0","0"
="1396",="05","Bramolde, Lda.","2023","1164,87","116,38","0","114,1","62,5","0","223,36","210,66","0","0","0","437,87","0"
="1544",="06","Schmidt Light Metal Fundição Injectada, Lda.","2023","2906,08","1643,75","0","0","0","0","0","0","471,9","790,43","0","0","0"
="1572",="05","Metalúrgica do Fojo, Lda.","2023","11413,56","0","1516,5","2628,1","0","713,75","2279,51","1802,4","0","470,8","1320,9","48,6","633"
="1683",="11","F Reis Máquinas Ferramentas, Lda.","2023","1090,74","0","0","0","103,2","272,34","0","0","0","177,2","168,16","369,84","0"
="1697",="12","Cunhimolde, Cunhos Cortantes, Unip., Lda.","2023","53,8","0","0","0","0","0","0","0","0","0","53,8","0","0"
="1774",="30","Inaceinox Indústria Equipamentos Inoxidáveis, SA.","2023","2092,95","130","0","37,55","0","118,5","609,41","186,46","0","0","175,18","259,6","576,25"
="1791",="30","TFM Torneamento Fresagem Mecânica, Unip., Lda.","2023","1854,88","0","0","0","0","0","1854,88","0","0","0","0","0","0"
="1929",="30","Carlos Alberto & Filhos, Lda.","2023","448,8","0","0","0","0","0","0","45,7","77,7","298,8","0","26,6","0"
="1998",="08","Conductor Serviços Reparação Moldes, Lda.","2023","138,3","0","0","0","51,8","0","42,8","43,7","0","0","0","0","0"
="2003",="08","Metalpinho Fabricação Moldes Embalagens, Lda.","2023","210,8","0","0","0","157","53,8","0","0","0","0","0","0","0"
="2069",="30","Plastinox Ferramentas Acessórios, Lda.","2023","1796,9","408,6","0","0","0","0","0","801,2","0","0","0","176,1","411"
="2160",="30","José Carlos Ramos Sucena","2023","368,5","0","149,5","0","0","0","0","53,2","0","0","0","165,8","0"
="2168",="06","MBMM Industria Metalomecanica, Unip., Lda","2023","1134,2","0","45,6","223,6","0","110,1","0","70","0","443,7","241,2","0","0"
="2366",="13","José Maria Silva Azevedo, Lda.","2023","95,62","0","0","0","0","0","0","0","0","0","95,62","0","0"
="2403",="30","Ferprecis Ferramentaria Precisão,Lda.","2023","333,7","95","0","126,9","111,8","0","0","0","0","0","0","0","0"
="2480",="05","Eusébio Gaião Ruas, Unip,, Lda.","2023","479,71","0","0","0","0","0","304,53","0","0","0","0","175,18","0"
="3074",="10","Futrifer Indústrias Ferroviárias, SA","2023","3004","0","0","0","0","0","2796","0","0","208","0","0","0"
="4755",="10","BOCCARD PORTUGAL, LDA","2023","1891,2","188,4","570","330","0","0","330","0","0","472,8","0","0","0"
="4762",="30","LOB Maquinação Unipessoal, Lda","2023","841,2","780","61,2","0","0","0","0","0","0","0","0","0","0"
="4785",="30","CENTRANOR CENTRO DE ASSISTENCIA DE TRAVÕES LDA","2023","634,43","0","0","0","0","309,2","0","0","171,8","0","0","153,43","0"
="4816",="12","VOLKAN UNIPESSOAL LDA","2023","72,1","0","0","0","0","0","0","0","0","0","0","0","72,1"
="4825",="05","METALINVICTUS UNIPESSOAL LDA","2023","593,19","0","0","156,75","0","0","156,75","0","0","0","0","279,69","0"
="4835",="11","PUROMETAL PRODUTOS PARA A INDUSTRIA LDA","2023","313,6","0","138,4","0","175,2","0","0","0","0","0","0","0","0"
